publishedAt,authorDisplayName,textDisplay,likeCount,Type
2024-12-09T03:49:17Z,@indahouse132,Si duo imut,0,Non-Toxic
2024-12-09T03:41:30Z,@oktavdian10,Abe tuh nyata yaa.. ya allah lucu banget ini bro abe dan bro ajjahe bersatu ðŸ˜Š,0,Non-Toxic
2024-12-09T03:15:12Z,@efangainun5172,tambahin ritsuki pliss,1,Non-Toxic
2024-12-09T02:47:03Z,@kiyasa21,"abe fokusnya bisa dibilang bagus ya, di panggil dikit udah nurut. gemes",0,Non-Toxic
2024-12-09T02:37:02Z,@srara1101,Bayi lucu tu abeeee,0,Non-Toxic
2024-12-09T02:17:42Z,@usfgh789-aAj,Abe bisa bikin bad mood jd good moodâ¤,0,Non-Toxic
2024-12-09T02:15:03Z,@sutomomoo3510,"Abe karakternya sopan dan gak sombong .ramah ,lincah,bisa adaptasi,gak jago kandang doangðŸ‘ðŸ»<br>Semoga gak berubah sampai dewasa ya anak pinter 3liter",0,Toxic
2024-12-09T06:44:26Z,@Susiandriani592,Ow ini org nya,0,Non-Toxic
2024-12-09T02:14:38Z,@Cuteeepie_66,"<a href=""https://www.youtube.com/watch?v=PSDbi4wQg8o&amp;t=703"">11:43</a> ðŸ˜‚abe kaget di tendang dino nya sama ajja<br><a href=""https://www.youtube.com/watch?v=PSDbi4wQg8o&amp;t=720"">12:00</a> abe menanggâ¤<br><a href=""https://www.youtube.com/watch?v=PSDbi4wQg8o&amp;t=727"">12:07</a> pinter bngt abe melampiaskan kemarahan ke ajja tpi lebih milih pkl dinooâ¤",0,Non-Toxic
2024-12-09T01:45:26Z,@ricooxq,gasabar abe nonjok ajja ,5,Toxic
2024-12-09T01:29:56Z,@nadyprtwi2501,lu yang ditonjok bang,0,Toxic
2024-12-09T01:20:22Z,@AnnisaDeny,komen org tolol,0,Toxic
2024-12-09T01:20:03Z,@vitasanti9516,vlog bayi bayi ini lucu banget gemesinnnn,0,Non-Toxic
2024-12-09T01:15:34Z,@pajakacsm7380,Akhirnya.......................mereka betemu,0,Non-Toxic
2024-12-09T01:01:39Z,@rosieysf9549,Lucu banget bocil2 kegemesan kuðŸ˜–ðŸ¤ðŸ¼,0,Non-Toxic
2024-12-09T00:22:00Z,@alroismustaqimofficial4544,"abee jgn mau ketemu lg sama aja, mending sm ritsuki",0,Toxic
2024-12-09T00:00:37Z,@nenirizki9519,"Kmarin ktemu neng ritsuki melting ktmu aja aku deg deg,an ðŸ¤£ðŸ¤£",0,Non-Toxic
2024-12-08T23:41:48Z,@gystiaraahyafajrin2411,pwisss undang fadil main sm duo bocil ini,0,Non-Toxic
2024-12-08T23:15:01Z,@shiorinneanime,Ke sini gara gara ada abe,0,Toxic
2024-12-08T23:08:32Z,@Wolfgangbreaux,Lucu bgt mami starstruck pas salaman sama mama gigi ðŸ˜­ðŸ˜­ðŸ˜­ðŸ˜­,0,Non-Toxic
2024-12-08T21:46:51Z,@yunialromi4516,"Kelihatan abe ga ngerti mukulÂ², smpi cemas bgt wjh nya wkt dino di tendang.",1,Non-Toxic
2024-12-08T20:47:43Z,@TauhidaIka,Kesini mo liat abe cekut ðŸ˜‚ðŸ˜‚,0,Toxic
2024-12-08T19:36:12Z,@panduwcksono,Lucu sekali mereka berdua,0,Non-Toxic
2024-12-08T17:54:14Z,@Aslebewcihuy,aku engap banget nonton video ini.. kek capek bgt gaksi? sesek paham gaksiðŸ˜­ trs ajja kasar bgt ya sumpah beda bgt sm abe,0,Toxic
2024-12-08T18:22:16Z,@Susiandriani592,Warga pesbuk dan toktok nyampah disini org&quot; SDM rendah. klo gk suka skip aja nek gk usah di liat segala banding&quot; in . Kaya lu gk pernah punya anak kecil aja .. norak bgt fans nya abe.,3,Toxic
2024-12-09T00:13:53Z,@Chatarinaay,"Lu sendiri yang cape mba ðŸ˜‚ yang lain mah enjoy aja paham aja masih 3 tahun, orang tuanya sama sama baik juga<br>Ga mungkin dong sekelas papa raffi sama mama gigi ngajarin anaknya hal yang gak bener, <br><br>bener aja lu mba jan berlebihan deh!!",1,Toxic
2024-12-08T17:27:20Z,@claryzzaseftiana7350,"Sory tp disini aja ga sopan bgt pas nendang dino, gw tau dia msh kecil, tp perilakunya itu bikin org kaget (apalagi abe jg msh kecil)",0,Toxic
2024-12-08T17:33:51Z,@Susiandriani592,Abe masih kecil ?? Ya elah mereka sama&quot; anak <br> kecil kali nek. bukan nya lahir dulu an abe dari cipung . tahun nya sama 2021 Abe bulan juli cipung nov. gk usah hiperbola nek kaya lu gk pernah ngerasain punya anak kecil aja..,3,Toxic
2024-12-08T17:21:15Z,@okipamungkas9,"abe dlm hati: ""masi gua sabarin, bntr lg gua tonjok palanya""¤â¤",0,Toxic
2024-12-08T16:41:51Z,@acakindo,Gemesgh keduanya,0,Non-Toxic
2024-12-08T16:33:07Z,@kejumozarella5341,kurang lama nihh durasinya gemes bgt sama bayikk acabeee,0,Non-Toxic
2024-12-08T16:13:52Z,@rezioktavianii7980,Abeeeeâ¤â¤â¤,0,Non-Toxic
2024-12-08T15:37:13Z,@TheFilleeey,Terlucu abe siiih ðŸ¥¹ðŸ¤ðŸ»,0,Toxic
2024-12-08T15:20:39Z,@IinIndi-x6c,Ko Ajja galaxy sama Abe ga boleh gitu harus temen jagan galay ajak Abe Ajja kasi tahu tangannya dipegang Jagan ga mau sama Abe Ajja udang Abe lagi dong KK gigi bilang ke Ajja ajak Abe ga boleh galay dong kasih tahu sama Abe Ajja udang Abe lagi dong Ajja Abe jalan Abe,0,Toxic
2024-12-08T15:00:32Z,@nurulafifah5232,Gemas cekali â¤,0,Non-Toxic
2024-12-08T14:50:48Z,@muhammadsyahid8006,di tunggu ritzuki ketemu rayyanza,1,Non-Toxic
2024-12-09T01:14:25Z,@rosieysf9549,"Gak usah deh, mending ajja gak usah ketemu anak2 viral. Ngeri fans nya pada bully bocil, ajja kena serang mulu, tanpa ketemu mereka ajja sangat baik2 aja hidupnya.",0,Toxic
2024-12-09T01:57:06Z,@Susiandriani592,Gk usah deh mending ajjae main solo aja. ngundang yg viral&quot; psti nanti ujung&quot; nya dia juga yg kena bully . kasian di toktok dia di bully di hujat habis&quot; an sama fans abe.. miris sekali pda bully anak kecil. Gk ngaruh juga colab&quot; ajjae juga udah punya nama punya power sendiri. mending main nya sama persepupuan dia aja sama besti nya marki .,0,Toxic
2024-12-08T14:48:02Z,@wulanariedamayanti5821,Lagi lagi lagi lagi,0,Non-Toxic
2024-12-08T14:47:50Z,@wulanariedamayanti5821,Lagi pagi lagiðŸ˜‚â¤â¤â¤,0,Non-Toxic
2024-12-08T14:43:48Z,@putris4601,perbedaan sifat ajja dan abe,0,Toxic
2024-12-08T14:43:28Z,@putris4601,sama ritsuki dong,0,Non-Toxic
2024-12-08T14:32:29Z,@ukhtyisnaniputri4659,Kasihan Abe ðŸ˜¢,1,Toxic
2024-12-08T14:28:02Z,@andiniindrawati383,"Colab sama ritsukiiii, dia lagi di indoooooâ¤",3,Non-Toxic
2024-12-08T14:32:09Z,@frowlsudhhd,Up,0,Non-Toxic
2024-12-08T14:33:40Z,@AuliaPutriZ-u4v,Up,0,Non-Toxic
2024-12-09T00:15:45Z,@Chatarinaay,"ajja gasopan, gadiajarin orgtuanya",0,Toxic
2024-12-08T14:24:57Z,@tisyatisya-xu7fg,Aja ketemu ritsuki dong,1,Non-Toxic
2024-12-08T14:21:43Z,@rutseilacarine7383,pertama kali nonton di channel ini karna ada abe,2,Toxic
2024-12-08T14:18:54Z,@wahidzamzamijakarta6488,Kok bapak Duta sekarang gemukan yaaa ðŸ˜‚ðŸ˜‚ðŸ˜‚,1,Non-Toxic
2024-12-08T14:15:11Z,@iqbalmahbubi3062,Aja colab sama ritsuki dong mumpung ritsuki lagi di Indonesia,1,Non-Toxic
2024-12-08T13:59:34Z,@LindaLestari-s3r,Bocil2 tergemesâ¤â¤â¤,1,Non-Toxic
2024-12-08T13:56:31Z,@BejoKalijaga1213,Saya waktu berdagang koran keliling dari gang<br>ke gang saya <br>di olok olok <br>Dihina <br>Dibully <br>Difitnah<br>Dilempari pakaI batu<br>Di tinju Yang nenju ga tanggung jawab<br>Ditipu<br>Dibohonggi<br>Diludai wajah ku<br>Di injak harga diriku<br>Dibilang kata kata binatang<br>Tapi<br>Ga ada orang merekam video kejadian nya waktu aku diperlakukan seperti itu<br>Tapi kenapa ga ada orang yang datang ngasih bantuan uang yang besar pada ku dan keluarga ku<br>Minta doanya semoga hari ini ada orang berhati nurani berbondong bondong datang ngasih bantuan uang yang sangat besar padaku dan keluarga<br>Alamat ku sumatra utra kota padang sidimpuan<br>Padang sidimpuan selatan<br>Lapangan bola sidangkal,1,Non-Toxic
2024-12-08T13:45:02Z,@safiraaulia7977,Ketemu yg lama biar jd bestie dong wkwkwkwk,1,Non-Toxic
2024-12-08T13:43:46Z,@paytondikromo9926,Masa depan abe cerrah,1,Toxic
2024-12-08T13:32:39Z,@Devinsyoussef,Akhirnya yang ditunggu tunggu,1,Non-Toxic
2024-12-08T13:31:30Z,@syp1234,Gemes bgtt 2 bocil iniiâ¤â¤,1,Non-Toxic
2024-12-08T13:16:28Z,@fellaerlinda8184,Kayaknya seru rayanza ketemu sama ritsuki,1,Non-Toxic
2024-12-08T13:05:13Z,@FaisalWiliam-di2xd,Yg satu gemoy satu gagah,2,Toxic
2024-12-08T13:04:14Z,@shxxbin131,Abeee kaya bayikkkkâ¤â¤,1,Non-Toxic
2024-12-08T12:49:52Z,@geminiarchieve,gemasnya :3,1,Non-Toxic
2024-12-08T12:46:10Z,@nurvinaaracely5817,"vlog isinya orang dewasa semua yg heboh dan berisik ðŸ˜Œ maybe better kalau videonya versi clean kaya hidden kamera, biarin liat interaksi mereka secara naturan tanpa intervensi orang dewasa sama sekali. biarkan anak kecil berkenalan, saling pendekatan dan main bersama, instead of orang dewasa yang memaksakan interaksi 2 anak kecil ðŸ™",141,Toxic
2024-12-09T12:48:54Z,@Flowers.77,"Iya kan, kayak bayi2 di korea gitu",3,Non-Toxic
2024-12-10T07:00:32Z,@kao7740,Setuju,0,Non-Toxic
2024-12-10T08:18:20Z,@lluice,up,0,Non-Toxic
2024-12-10T11:58:53Z,@shopiyanti8490,Se7,0,Non-Toxic
2024-12-08T12:17:27Z,@syihibuho,"abe mah ankny ga manja, gk kyk yg satunya",6,Toxic
2024-12-08T12:17:10Z,@rizqiawanh5255,Masih malu malu,1,Non-Toxic
2024-12-08T12:15:55Z,@zhr_2375,bangga bgt liat abee disiniiiiðŸ’ž,3,Toxic
2024-12-08T11:54:20Z,@mikyalputriwulan,lucunya anak 2 iniðŸ¤ðŸ»,1,Non-Toxic
2024-12-08T11:53:57Z,@rahmiea_,lucuuu bgtttðŸ˜©ðŸ¤ðŸ»,1,Non-Toxic
2024-12-08T11:46:49Z,@nuralviah5487,abeee lucu sekaliii,1,Toxic
2024-12-08T11:44:05Z,@SkuyUh,Abe masuk kamar aja katalimengðŸ˜…,1,Non-Toxic
2024-12-08T11:40:43Z,@Smashlover04,Wah ada Marc Marquez cilik di Andara niÃ¬iihh ðŸ˜ŠðŸ˜ðŸ‘ðŸ‘ðŸ’™,1,Non-Toxic
2024-12-08T11:37:44Z,@paulakaunang6758,teman baru ya,1,Non-Toxic
2024-12-08T11:36:17Z,@YinYaya,ehh ini ajja Collab sama ritsuki natsuki bakal adik juga nih,2,Non-Toxic
2024-12-08T11:34:10Z,@diankristinanana6563,Abe comel bgt,2,Toxic
2024-12-08T11:24:18Z,@yolandararefflesiachannel203,Ajja dan abe terbaik jgn ada yg bandingin2.,4,Non-Toxic
2024-12-08T11:02:17Z,@AbdulSalehtupang-ss8yh,Mantapp,2,Non-Toxic
2024-12-08T11:02:13Z,@AbdulSalehtupang-ss8yh,Mantapp,2,Non-Toxic
2024-12-08T10:58:39Z,@Seribuana,sehat2 ya kak Raffi dan nagita,3,Non-Toxic
2024-12-08T10:56:06Z,@frengkii_sanjaya,Di tendang anjj sama cipung dino nyaa ðŸŽ‰,2,Toxic
2024-12-08T10:53:54Z,@rimam8541,Semoga rayanza bisa ketemu ritsuki chanâ¤â¤â¤,1,Non-Toxic
2024-12-08T10:50:43Z,@NiarDiary,PLEASE COLLAB BARENG RITSUKI MUMPUNG LAGI DI INDOO,3,Non-Toxic
2024-12-08T10:50:53Z,@NiarDiary,aja sok iya bgt anjirrr,1,Toxic
2024-12-08T10:50:59Z,@NiarDiary,lu yg sok iya gblk,1,Toxic
2024-12-09T00:17:56Z,@Chatarinaay,Up,0,Non-Toxic
2024-12-08T10:47:43Z,@tatilistiani6674,Abe kesayangan onty angkelâ¤â¤,1,Non-Toxic
2024-12-08T10:46:20Z,@natasharomanoops,AAAAAKKK SAYAANG SAYANGGG KUUUU,1,Non-Toxic
2024-12-08T10:31:23Z,@fernandosarindat3903,minta durasi panjang nya dongg ðŸ˜¢ðŸ˜¢ masih pengen liat mereka berdua.,1,Non-Toxic
2024-12-08T10:29:55Z,@CoklatoreoVanila,"lihat komen tiktok, makin nyadar rayanza kyk gk pernah diajarin",1,Toxic
2024-12-08T10:26:00Z,@nurulnadianorgani155,Gemeees banget.,2,Non-Toxic
2024-12-08T10:19:58Z,@fernandosarindat3903,gas bikin geng dahðŸ˜‚,1,Non-Toxic
2024-12-08T10:18:41Z,@GazanfarHafiz,lucu bgt cipungg pass milih mainanðŸ˜‚,1,Toxic
2024-12-08T10:13:42Z,@NurRany-g6e,Ajja kamu ngk ad capek ny suting terus Aa dulu ngk mau lihat kamerah ja,1,Toxic
2024-12-08T10:09:33Z,@rahmayani-gv7yi,"Imut banget abee, kemasan saset mini bangetttâ¤ðŸ˜ŠðŸ˜‚",4,Toxic
2024-12-09T00:18:25Z,@Chatarinaay,Mukanya bayi bgt ya lucu â¤,0,Non-Toxic
2024-12-08T09:58:30Z,@pakpule6605,"Baju,apa,rayyðŸ™Ž",0,Non-Toxic
2024-12-08T09:54:19Z,@pakpule6605,Hhh ðŸ˜,0,Non-Toxic
2024-12-08T09:53:30Z,@pakpule6605,"Minjam,topi,besok,yaðŸ¤£ðŸ¤£",0,Non-Toxic
2024-12-08T09:46:24Z,@pakpule6605,ðŸ‘,0,Non-Toxic
2024-12-08T09:44:32Z,@pakpule6605,"Cari,yaðŸ˜›ðŸ˜›ðŸ˜›ðŸ’",0,Non-Toxic
2024-12-08T09:43:54Z,@meiditasilvianie1608,Abe si bayi imut tapi sangat santun baru pertama ketemu langsung ngajak salaman sama ajja waktu itu jg ketemu ritsuki abe langsung samperin dan ajak salaman dan say hi,0,Non-Toxic
2024-12-08T09:42:13Z,@pakpule6605,"Ai,,,ðŸŠðŸŠðŸŠðŸŠðŸš¶ðŸ¤£",0,Non-Toxic
2024-12-08T09:41:58Z,@Iponk-vlog-d6x,abe lucuuu bangeet,0,Toxic
2024-12-08T09:33:07Z,@pitchy2490,Ajja sm Abe seumuran kah???,0,Non-Toxic
2024-12-08T09:28:05Z,@rizalbaadilla2433,"Emak nya Abe Panik, Takut Abe Berantkin, Tapi Salut Maminya Abe, ðŸŽ‰",1,Non-Toxic
2024-12-08T09:23:58Z,@andiintansari5246,Abe sayaang,0,Non-Toxic
2024-12-08T09:21:50Z,@pitchy2490,Ajja klo ketemu temen baru auto malu yaa ðŸ˜‚ pdhl nanyain mulu tp pas ketemu jaim ðŸ˜‚ smg ajja &amp; abe jd bestie biar bs sering main bareng ðŸ¤­,1,Non-Toxic
2024-12-08T09:16:29Z,@trixieelizabeth9977,Gemessss,0,Non-Toxic
2024-12-08T09:16:20Z,@trixieelizabeth9977,Lucuuu cekalii 2 2 nyaaaa,0,Non-Toxic
2024-12-08T09:11:50Z,@GudangGorden,Gemes bangetðŸ¥°,0,Non-Toxic
2024-12-08T09:06:17Z,@mariya9389,Main bareng marki aja dek ga usah sama abe<br>Banyak yg lebay alay tantruman ngeri yg sono iri hati dg pesona mu dek,3,Toxic
2024-12-09T00:19:32Z,@Chatarinaay,Ngeselin ya ðŸ˜­ padahal ortunya santai bgt,0,Non-Toxic
2024-12-08T09:05:20Z,@mariya9389,"Rayyanza sayang ga usah main bareng abe lagi ya<br>Soalnya klo kesenggol dikit takut jatuh fans nya lebayðŸ˜‚klo rayyanza kan anak kuat mandiri pinter ganteng dan gemesin, udah paling bener sma marki aja",3,Toxic
2024-12-08T09:03:57Z,@mariya9389,"Tolong ya para fans nya abe yg tukang Tantrum ga jelas mending otak dan hati kalian di bersihin deh dari rasa iri hati,tukang bully anak kecil,baru jg kesenggol dikit kostum dino udah kya di apain aja lebay lu, klo ga mau kesenggol diem aj di kamar ga usah main bareng rayyanza kesayangan ku",3,Toxic
2024-12-08T09:01:45Z,@mariya9389,"Sebelum abe mainan punya dino, rayyanza udah khatamðŸ˜‚ kasian baru jg pke kostum dino<br>Kesenggol dikit fans nya tantrumðŸ˜‚dasar tukang bully iri dengki sama anak kecil semua jg mengakui klo rayyanza bayi hebat ganteng baik gemesin",3,Toxic
2024-12-08T08:59:19Z,@mariya9389,Rayyanza sayangku cintaku i lopyu selamanya â¤ðŸ¥°,1,Toxic
2024-12-08T08:58:53Z,@mariya9389,Rayyanza batita cerdas ganteng gemesin baik Sholeh <br>Masih aja banyak yg iri hati sama anak kecil,9,Toxic
2024-12-08T08:58:10Z,@mariya9389,"Fans nya Abe tukang bully nyebelin bgt, udah rayyanza ga usah main bareng abe lagi<br>Kasian rayyanza kesayangan ku<br>Fans nya Abe iri dengki sama anak kecil",2,Toxic
2024-12-08T08:53:53Z,@bangcupu9666,KURANGG BAYI GEDE PADIL JAIDIðŸ˜‚,1,Non-Toxic
2024-12-09T00:20:02Z,@Chatarinaay,Hahahhaa ðŸ˜‚,0,Non-Toxic
2024-12-08T08:42:28Z,@tatahida,"Habis ini semoga Ajja ketemu Ritsuki &amp; mas Natsuki, pumpung mereka lagi d Indo, pasti seruu..",1,Non-Toxic
2024-12-08T08:34:23Z,@fithrotunnisa518,Comell,1,Non-Toxic
2024-12-08T08:24:11Z,@s3.pengangguran,Nampak sekali bayi meteyol menguasai lane dari menit pertama ðŸ¤£,2,Toxic
2024-12-08T08:18:40Z,@anyaw8069,Cipung ajja lucuuðŸ˜,1,Toxic
2024-12-08T08:18:40Z,@hanifah.s78,hemes bgt pas pake kostumðŸ˜­ðŸ˜­ðŸ˜­ðŸ¤£,1,Non-Toxic
2024-12-08T08:16:29Z,@meysikanajwa5636,LUCUUU POLLLL,1,Non-Toxic
